Table,Section,SubHeader,Parameter,v9Parameter,v9Value,v8Parameter,v8Value,%Change,Notes,TableNotes
VOT1,GP-DistMCAssign,,,VOT_HOT_DA,63,VOT_HOT_DA,50,,drive alone on HOT,cent/mile
VOT1,GP-DistMCAssign,,,VOT_Auto_Wrk_Lo,9,,,,work trips - low income (added),cent/mile
VOT1,GP-DistMCAssign,,,VOT_Auto_Wrk_Hi,24,,,,work trips - high income (added),cent/mile
VOT1,GP-DistMCAssign,,,VOT_Auto_Per_Lo,7,,,,non-work trips - loc income (added),cent/mile
VOT1,GP-DistMCAssign,,,VOT_Auto_Per_Hi,19,,,,non-work trips - high income (added),cent/mile
VOT2,GP-DistMCAssign,,,RAIL2COR_MULTIPLIER,0.33,RAIL2BRT_MULTIPLIER,0.4,,factor to set Core Route constant relative to LRT constant,
AutoOperatingCosts,GP-DistMCAssign,,AOC_Auto,,21.7,,18.3,,auto,updated based on 2019 fuel cost & economy and vehicle maintenance; cent/mile
AutoOperatingCosts,GP-DistMCAssign,,AOC_LT,,27.3,,24.6,,light truck,updated based on 2019 fuel cost & economy and vehicle maintenance; cent/mile
AutoOperatingCosts,GP-DistMCAssign,,AOC_MD,,55.5,,47.8,,medium truck,updated based on 2019 fuel cost & economy and vehicle maintenance; cent/mile
AutoOperatingCosts,GP-DistMCAssign,,AOC_HV,,74.3,,63.7,,heavy truck,updated based on 2019 fuel cost & economy and vehicle maintenance; cent/mile
RatioAOC-VOT,GP-DistMCAssign,,Wrk,,0.986363636,,1.016666667,0.970193741,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
RatioAOC-VOT,GP-DistMCAssign,,Per,,1.276470588,,1.307142857,0.976534876,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
RatioAOC-VOT,GP-DistMCAssign,,Ext,,1.085,,1.14375,0.94863388,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
RatioAOC-VOT,GP-DistMCAssign,,LT,,0.737837838,,0.82,0.899802241,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
RatioAOC-VOT,GP-DistMCAssign,,MD,,1.11,,1.195,0.928870293,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
RatioAOC-VOT,GP-DistMCAssign,,HV,,1.179365079,,1.274,0.925718273,,"Notes: Distribution Generalized Cost Function -- GC = Time + Dist*AOC/VOT + Tolls/VOT -- The shift in AOC/VOT ratio means person trips are slightly less sensitive to distance and a little more sensitive to time in v9 than v8. Similar trend holds for truck trips, thogh a little more so."
ManagedLaneCosts,GP-DistMCAssign,,Cost_Toll_Pk,,48,,24,,Tollways (FT 40) cost - Peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
ManagedLaneCosts,GP-DistMCAssign,,Cost_Toll_Ok,,48,,24,,Tollways (FT 40) cost - Off-peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
ManagedLaneCosts,GP-DistMCAssign,,Cost_HOT_Pk,,34,,10,,HOT (FT 38) cost - Peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
ManagedLaneCosts,GP-DistMCAssign,,Cost_HOT_Ok,,17,,5,,HOT (FT 38) cost - Off-peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
ManagedLaneCosts,GP-DistMCAssign,,Cost_REL_Pk,,34,,10,,Reliability lane cost - Peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
ManagedLaneCosts,GP-DistMCAssign,,Cost_REL_Ok,,17,,5,,Reliability lane cost - Off-peak,reflects a toll of ~$5.00 for a 10.25 mi trip (avg work dist) or ~$3.00 for a 6.5 mi trip (avg dist); cent/mile
